#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260419    07:47:21       1    147     45      -     25     21      0      0      0      0   9501   1560      0      0  21452  16356      -      -      -      0     37     28 
 20260419    07:47:22       0    398     74      -     96     90      0      0      0      0   9501   1725      0      0  21452  16356      -      -      -      0    166    158 
 20260419    07:47:22       1    123     44      -     42     40      0      0      0      0   5001   1215      0      0  21452  16356      -      -      -      0     74     18 
 20260419    07:47:23       0    398     75      -     95     90      0      0      0      0   9501   1740      0      0  21452  16356      -      -      -      0    165    192 
 20260419    07:47:23       1    114     44      -     37     35      0      0      0      0   5001   1395      0      0  21452  16356      -      -      -      0     60     29 
 20260419    07:47:24       0    398     76      -     89     85      0      0      0      0   9501   1770      0      0  21452  16356      -      -      -      0    139    121 
 20260419    07:47:24       1     89     42      -      0      0      0      0      0      0   5001   1455      0      0  21452  16356      -      -      -      0      0      0 
 20260419    07:47:25       0    398     76      -     89     85      0      0      0      0   9501   1755      0      0  21452  16356      -      -      -      0    148    188 
 20260419    07:47:25       1     79     42      -     50     21      0      0      0      0   5001    390     35      0  21452  16356      -      -      -      0     53     36 
 20260419    07:47:27       0    398     76      -     96     90      0      0      0      0   9501   1725      0      0  21452  16356      -      -      -      0    162    164 
 20260419    07:47:27       1    106     43      -     41     36      0      0      0      0   5001    900     28      0  21452  16356      -      -      -      0     54     23 
 20260419    07:47:28       0    398     76      -     95     90      0      0      0      0   9501   1740      0      0  21452  16356      -      -      -      0    133    165 
 20260419    07:47:28       1    111     43      -     42     38      0      0      0      0   5001   1110      0      0  21452  16356      -      -      -      0     49     23 
 20260419    07:47:29       0    398     76      -     95     90      0      0      0      0   9501   1725      0      0  21452  16356      -      -      -      0    132    181 
 20260419    07:47:29       1    112     43      -     41     38      0      0      0      0   5001   1230      0      0  21452  16356      -      -      -      0     68     15 
 20260419    07:47:30       0    398     77      -     96     91      0      0      0      0   9501   1725      0      0  21452  16356      -      -      -      0    144    115 
 20260419    07:47:30       1    113     43      -     38     36      0      0      0      0   5001   1305      0      0  21452  16356      -      -      -      0     37     28 
